class,probability,count
671,2.276245106073022e-05,9
672,1.7704128602790172e-05,7
673,4.2995740892490416e-05,17
674,1.0116644915880098e-05,4
675,2.276245106073022e-05,9
676,4.2995740892490416e-05,17
677,1.7704128602790172e-05,7
678,1.2645806144850122e-05,5
679,7.5874836869100735e-06,3
680,4.805406335043046e-05,19
681,3.2879095976610314e-05,13
682,3.0349934747640294e-05,12
683,1.0116644915880098e-05,4
684,1.2645806144850122e-05,5
685,1.5174967373820147e-05,6
686,3.5408257205580345e-05,14
687,3.793741843455037e-05,15
688,5.058322457940049e-06,2
689,1.7704128602790172e-05,7
690,4.552490212146044e-05,18
691,2.0233289831760196e-05,8
692,1.2645806144850122e-05,5
693,2.7820773518670267e-05,11
694,4.552490212146044e-05,18
695,1.5174967373820147e-05,6
696,7.5874836869100735e-06,3
697,1.7704128602790172e-05,7
698,2.5291612289700243e-05,10
699,3.5408257205580345e-05,14
700,5.5641547037340534e-05,22
701,2.0233289831760196e-05,8
702,7.5874836869100735e-06,3
703,1.2645806144850122e-05,5
704,1.0116644915880098e-05,4
705,1.7704128602790172e-05,7
706,2.0233289831760196e-05,8
707,4.805406335043046e-05,19
708,4.805406335043046e-05,19
709,2.0233289831760196e-05,8
710,3.5408257205580345e-05,14
711,1.5174967373820147e-05,6
712,5.0583224579400486e-05,20
713,2.276245106073022e-05,9
714,6.32290307242506e-05,25
715,4.046657966352039e-05,16
716,6.575819195322063e-05,26
717,5.817070826631056e-05,23
718,5.058322457940049e-06,2
719,5.0583224579400486e-05,20
720,2.7820773518670267e-05,11
721,3.5408257205580345e-05,14
722,1.2645806144850122e-05,5
723,1.2645806144850122e-05,5
724,5.5641547037340534e-05,22
725,7.5874836869100735e-06,3
726,6.069986949528059e-05,24
727,7.840399809807076e-05,31
728,2.7820773518670267e-05,11
729,4.805406335043046e-05,19
730,1.2645806144850122e-05,5
731,8.093315932704078e-05,32
732,1.7704128602790172e-05,7
733,2.5291612289700243e-05,10
734,2.0233289831760196e-05,8
735,1.7704128602790172e-05,7
736,1.2645806144850122e-05,5
737,5.058322457940049e-06,2
738,2.0233289831760196e-05,8
739,1.5174967373820147e-05,6
740,1.0116644915880098e-05,4
741,7.5874836869100735e-06,3
742,1.7704128602790172e-05,7
743,2.0233289831760196e-05,8
744,2.0233289831760196e-05,8
745,7.081651441116069e-05,28
746,1.2645806144850122e-05,5
747,2.0233289831760196e-05,8
748,3.793741843455037e-05,15
749,1.2645806144850122e-05,5
750,2.0233289831760196e-05,8
751,2.276245106073022e-05,9
752,8.852064301395085e-05,35
753,5.5641547037340534e-05,22
754,2.0233289831760196e-05,8
755,3.0349934747640294e-05,12
756,4.2995740892490416e-05,17
757,7.5874836869100735e-06,3
758,2.0233289831760196e-05,8
759,5.058322457940049e-06,2
760,5.817070826631056e-05,23
761,4.046657966352039e-05,16
762,6.32290307242506e-05,25
763,4.2995740892490416e-05,17
764,1.0116644915880098e-05,4
765,1.2645806144850122e-05,5
766,1.7704128602790172e-05,7
767,2.276245106073022e-05,9
768,4.2995740892490416e-05,17
769,4.552490212146044e-05,18
770,1.7704128602790172e-05,7
771,4.2995740892490416e-05,17
772,2.276245106073022e-05,9
773,2.5291612289700243e-05,10
774,7.5874836869100735e-06,3
775,1.2645806144850122e-05,5
776,4.2995740892490416e-05,17
777,1.5174967373820147e-05,6
778,1.5174967373820147e-05,6
779,5.5641547037340534e-05,22
780,7.5874836869100735e-06,3
781,3.793741843455037e-05,15
782,3.2879095976610314e-05,13
783,7.5874836869100735e-06,3
784,1.5174967373820147e-05,6
785,4.552490212146044e-05,18
786,3.0349934747640294e-05,12
787,1.0116644915880098e-05,4
788,7.5874836869100735e-06,3
789,6.575819195322063e-05,26
790,5.5641547037340534e-05,22
791,5.058322457940049e-06,2
792,2.0233289831760196e-05,8
793,5.311238580837051e-05,21
794,6.575819195322063e-05,26
795,7.5874836869100735e-06,3
796,4.552490212146044e-05,18
797,1.0116644915880098e-05,4
798,2.5291612289700243e-05,10
799,7.5874836869100735e-06,3
800,2.276245106073022e-05,9
801,1.5174967373820147e-05,6
802,2.5291612289700245e-06,1
803,4.552490212146044e-05,18
804,1.5174967373820147e-05,6
805,5.311238580837051e-05,21
806,5.058322457940049e-06,2
807,7.334567564013071e-05,29
808,4.046657966352039e-05,16
809,5.817070826631056e-05,23
810,2.276245106073022e-05,9
811,1.2645806144850122e-05,5
812,5.5641547037340534e-05,22
